,SC001Q01TA,SC013Q01TA,CNTSCHID,CCAA
629,2.0,2.0,72400635.0,15
630,2.0,2.0,72400636.0,07
631,3.0,1.0,72400637.0,15
632,3.0,2.0,72400638.0,16
633,,,72400639.0,05
634,3.0,1.0,72400640.0,06
635,2.0,2.0,72400641.0,09
636,4.0,1.0,72400642.0,13
637,2.0,1.0,72400643.0,10
638,4.0,1.0,72400644.0,14
639,3.0,2.0,72400645.0,16
640,2.0,1.0,72400646.0,11
641,3.0,2.0,72400647.0,17
642,3.0,2.0,72400648.0,11
643,1.0,2.0,72400649.0,16
644,2.0,1.0,72400650.0,04
645,4.0,1.0,72400651.0,14
646,2.0,2.0,72400652.0,10
647,2.0,1.0,72400653.0,06
648,2.0,1.0,72400654.0,10
649,4.0,2.0,72400655.0,13
650,1.0,1.0,72400656.0,06
651,4.0,1.0,72400657.0,03
652,3.0,1.0,72400658.0,17
653,2.0,1.0,72400659.0,10
654,3.0,1.0,72400660.0,01
655,2.0,1.0,72400661.0,15
656,3.0,2.0,72400662.0,16
657,2.0,1.0,72400663.0,07
658,5.0,2.0,72400664.0,13
659,2.0,1.0,72400665.0,16
660,2.0,1.0,72400666.0,05
661,3.0,2.0,72400667.0,16
662,3.0,1.0,72400668.0,01
663,4.0,1.0,72400669.0,03
664,3.0,1.0,72400670.0,07
665,3.0,1.0,72400671.0,09
666,5.0,1.0,72400672.0,13
667,3.0,2.0,72400673.0,13
668,2.0,2.0,72400674.0,02
669,3.0,1.0,72400675.0,16
670,3.0,1.0,72400676.0,10
671,3.0,1.0,72400677.0,17
672,5.0,2.0,72400678.0,13
673,5.0,2.0,72400679.0,13
674,2.0,1.0,72400680.0,13
675,3.0,1.0,72400681.0,13
676,3.0,2.0,72400682.0,05
677,4.0,1.0,72400683.0,01
678,3.0,2.0,72400684.0,04
679,2.0,1.0,72400685.0,05
680,3.0,2.0,72400686.0,07
681,2.0,1.0,72400687.0,11
682,2.0,1.0,72400688.0,15
683,4.0,1.0,72400689.0,07
684,1.0,1.0,72400690.0,11
685,4.0,1.0,72400691.0,03
686,4.0,2.0,72400692.0,08
687,3.0,1.0,72400693.0,19
688,5.0,1.0,72400694.0,13
689,2.0,1.0,72400695.0,13
690,2.0,2.0,72400696.0,11
691,3.0,1.0,72400697.0,16
692,4.0,1.0,72400698.0,16
693,2.0,2.0,72400699.0,17
694,1.0,1.0,72400700.0,15
695,3.0,1.0,72400701.0,08
696,4.0,1.0,72400702.0,16
697,4.0,1.0,72400703.0,05
698,4.0,2.0,72400704.0,04
699,3.0,2.0,72400705.0,13
700,2.0,1.0,72400706.0,10
701,3.0,2.0,72400707.0,13
702,3.0,1.0,72400708.0,04
703,3.0,1.0,72400709.0,12
704,2.0,1.0,72400710.0,09
705,2.0,2.0,72400711.0,17
706,2.0,1.0,72400712.0,09
707,5.0,2.0,72400713.0,13
708,3.0,2.0,72400714.0,14
709,4.0,2.0,72400715.0,13
710,4.0,2.0,72400716.0,02
711,2.0,1.0,72400717.0,07
712,4.0,1.0,72400718.0,11
713,,,72400719.0,05
714,4.0,2.0,72400720.0,01
715,2.0,1.0,72400721.0,14
716,5.0,1.0,72400722.0,13
717,3.0,1.0,72400723.0,16
718,3.0,1.0,72400724.0,14
719,2.0,1.0,72400725.0,11
720,2.0,2.0,72400726.0,07
721,4.0,2.0,72400727.0,16
722,2.0,1.0,72400728.0,10
723,3.0,2.0,72400729.0,13
724,2.0,1.0,72400730.0,01
725,2.0,1.0,72400731.0,12
726,4.0,2.0,72400732.0,11
727,2.0,2.0,72400733.0,02
728,,,72400734.0,06
729,5.0,2.0,72400735.0,13
730,4.0,2.0,72400736.0,03
731,3.0,1.0,72400737.0,13
732,2.0,1.0,72400738.0,12
733,2.0,1.0,72400739.0,05
734,3.0,2.0,72400740.0,08
735,4.0,1.0,72400741.0,13
736,3.0,1.0,72400742.0,04
737,3.0,1.0,72400743.0,04
738,3.0,2.0,72400744.0,18
739,3.0,1.0,72400745.0,17
740,2.0,1.0,72400746.0,10
741,3.0,2.0,72400747.0,10
742,3.0,1.0,72400748.0,09
743,4.0,2.0,72400749.0,03
744,4.0,1.0,72400750.0,14
745,2.0,1.0,72400751.0,02
746,1.0,1.0,72400752.0,02
747,5.0,1.0,72400753.0,09
748,3.0,2.0,72400754.0,10
749,1.0,1.0,72400755.0,16
750,1.0,1.0,72400756.0,02
751,3.0,1.0,72400757.0,10
752,4.0,1.0,72400758.0,07
753,3.0,1.0,72400759.0,08
754,3.0,1.0,72400760.0,10
755,5.0,2.0,72400761.0,13
756,3.0,1.0,72400762.0,06
757,3.0,1.0,72400763.0,11
758,2.0,2.0,72400764.0,05
759,3.0,1.0,72400765.0,16
760,2.0,1.0,72400766.0,09
761,3.0,2.0,72400767.0,07
762,,,72400768.0,06
763,2.0,1.0,72400769.0,03
764,3.0,1.0,72400770.0,01
765,2.0,1.0,72400771.0,09
766,3.0,1.0,72400772.0,16
767,2.0,1.0,72400773.0,12
768,2.0,1.0,72400774.0,02
769,,,72400775.0,18
770,3.0,1.0,72400776.0,08
771,5.0,2.0,72400777.0,13
772,2.0,2.0,72400778.0,15
773,3.0,1.0,72400779.0,11
774,2.0,1.0,72400780.0,17
